Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Heart attack,breathlessness,sweating,chest_pain,
Jaundice,itching,vomiting,fatigue,weight_loss
Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite
Typhoid,chills,vomiting,fatigue,high_fever
Fungal infection,itching,skin_rash,dischromic _patches,
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Dengue,skin_rash,chills,joint_pain,fatigue
Acne,skin_rash,blackheads,scurring,
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Tuberculosis,chills,vomiting,fatigue,weight_loss
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Varicose veins,fatigue,cramps,bruising,obesity
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Chicken pox,itching,skin_rash,fatigue,lethargy
Gastroenteritis,vomiting,sunken_eyes,dehydration,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Hepatitis D,joint_pain,fatigue,yellowish_skin,dark_urine
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Common Cold,continuous_sneezing,fatigue,cough,high_fever
Chicken pox,itching,skin_rash,lethargy,high_fever
Dengue,skin_rash,chills,joint_pain,vomiting
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Dengue,skin_rash,chills,joint_pain,vomiting
Pneumonia,chills,fatigue,cough,high_fever
Pneumonia,chills,fatigue,cough,high_fever
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus
Hyperthyroidism,mood_swings,weight_loss,restlessness,sweating
Heart attack,vomiting,sweating,chest_pain,
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Pneumonia,chills,fatigue,cough,high_fever
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Hypoglycemia,vomiting,fatigue,anxiety,headache
Common Cold,continuous_sneezing,chills,fatigue,cough
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Tuberculosis,chills,vomiting,fatigue,weight_loss
Dengue,skin_rash,chills,vomiting,fatigue
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Dengue,skin_rash,chills,joint_pain,fatigue
Varicose veins,fatigue,cramps,bruising,obesity
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Tuberculosis,chills,vomiting,fatigue,weight_loss
Gastroenteritis,vomiting,dehydration,diarrhoea,
Chicken pox,itching,skin_rash,fatigue,lethargy
Hepatitis E,joint_pain,fatigue,high_fever,yellowish_skin
Varicose veins,fatigue,cramps,bruising,obesity
Hepatitis D,joint_pain,vomiting,fatigue,dark_urine
Malaria,chills,vomiting,high_fever,sweating
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Pneumonia,chills,fatigue,cough,high_fever
Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_ urination
Heart attack,vomiting,breathlessness,sweating,chest_pain
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Hepatitis B,fatigue,lethargy,yellowish_skin,dark_urine
Chicken pox,itching,skin_rash,fatigue,lethargy
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Tuberculosis,chills,vomiting,fatigue,cough
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Typhoid,chills,vomiting,fatigue,high_fever
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,loss_of_balance
Dengue,skin_rash,chills,joint_pain,vomiting
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,
Hypertension ,headache,chest_pain,dizziness,lack_of_concentration
Typhoid,chills,vomiting,fatigue,high_fever
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen
Osteoarthristis,joint_pain,knee_pain,hip_joint_pain,swelling_joints
Common Cold,continuous_sneezing,chills,fatigue,cough
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Heart attack,vomiting,breathlessness,chest_pain,
AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,
Typhoid,chills,vomiting,fatigue,high_fever
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Malaria,chills,vomiting,high_fever,sweating
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Jaundice,itching,vomiting,fatigue,weight_loss
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Dengue,skin_rash,chills,joint_pain,vomiting
Fungal infection,itching,skin_rash,dischromic _patches,
Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Pneumonia,chills,fatigue,cough,high_fever
Bronchial Asthma,cough,high_fever,breathlessness,family_history
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Malaria,chills,vomiting,high_fever,sweating
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_ urination
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Gastroenteritis,vomiting,dehydration,diarrhoea,
Fungal infection,itching,skin_rash,dischromic _patches,
Typhoid,chills,vomiting,fatigue,high_fever
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Heart attack,breathlessness,sweating,chest_pain,
Allergy,shivering,chills,watering_from_eyes,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,
Heart attack,vomiting,breathlessness,chest_pain,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Typhoid,chills,vomiting,fatigue,high_fever
Urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Dengue,skin_rash,chills,joint_pain,vomiting
Pneumonia,chills,fatigue,cough,high_fever
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Common Cold,continuous_sneezing,chills,fatigue,cough
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Typhoid,chills,vomiting,fatigue,high_fever
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Dengue,skin_rash,chills,joint_pain,vomiting
Varicose veins,fatigue,bruising,obesity,swollen_legs
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Jaundice,itching,vomiting,fatigue,weight_loss
Malaria,chills,vomiting,high_fever,sweating
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Heart attack,vomiting,breathlessness,sweating,chest_pain
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Jaundice,itching,vomiting,fatigue,weight_loss
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration
Malaria,chills,vomiting,high_fever,sweating
hepatitis A,joint_pain,vomiting,dark_urine,nausea
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Acne,skin_rash,pus_filled_pimples,blackheads,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Pneumonia,fatigue,cough,high_fever,breathlessness
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Typhoid,chills,vomiting,fatigue,high_fever
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Chicken pox,itching,skin_rash,lethargy,high_fever
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Tuberculosis,chills,fatigue,weight_loss,cough
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough
Tuberculosis,chills,vomiting,fatigue,weight_loss
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Heart attack,vomiting,breathlessness,sweating,chest_pain
Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Varicose veins,fatigue,cramps,bruising,obesity
Typhoid,chills,vomiting,fatigue,high_fever
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Tuberculosis,chills,vomiting,fatigue,weight_loss
Pneumonia,chills,fatigue,cough,high_fever
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Typhoid,chills,vomiting,fatigue,high_fever
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Hyperthyroidism,fatigue,mood_swings,restlessness,sweating
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
GERD,stomach_pain,acidity,ulcers_on_tongue,cough
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Common Cold,continuous_sneezing,chills,fatigue,cough
Pneumonia,chills,fatigue,cough,high_fever
Typhoid,chills,vomiting,fatigue,high_fever
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Chicken pox,itching,skin_rash,fatigue,lethargy
Dengue,skin_rash,chills,joint_pain,vomiting
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Impetigo,skin_rash,high_fever,red_sore_around_nose,yellow_crust_ooze
Varicose veins,fatigue,cramps,bruising,obesity
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Malaria,chills,vomiting,high_fever,sweating
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection,itching,nodal_skin_eruptions,dischromic _patches,
Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger
GERD,stomach_pain,acidity,ulcers_on_tongue,cough
Gastroenteritis,vomiting,dehydration,diarrhoea,
Common Cold,continuous_sneezing,chills,fatigue,cough
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Varicose veins,fatigue,cramps,bruising,obesity
Gastroenteritis,vomiting,dehydration,diarrhoea,
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Tuberculosis,chills,vomiting,fatigue,weight_loss
Hyperthyroidism,mood_swings,weight_loss,restlessness,sweating
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Pneumonia,chills,fatigue,cough,high_fever
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Malaria,chills,vomiting,high_fever,sweating
hepatitis A,joint_pain,vomiting,dark_urine,nausea
Alcoholic hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Allergy,continuous_sneezing,shivering,watering_from_eyes,
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Typhoid,chills,vomiting,fatigue,high_fever
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Dengue,skin_rash,chills,joint_pain,vomiting
Jaundice,itching,vomiting,weight_loss,high_fever
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Pneumonia,chills,fatigue,cough,breathlessness
Heart attack,vomiting,breathlessness,sweating,chest_pain
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Typhoid,chills,vomiting,fatigue,high_fever
Diabetes ,weight_loss,restlessness,lethargy,irregular_sugar_level
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hepatitis D,joint_pain,fatigue,yellowish_skin,dark_urine
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Chicken pox,itching,skin_rash,lethargy,high_fever
Fungal infection,itching,nodal_skin_eruptions,dischromic _patches,
Tuberculosis,chills,vomiting,fatigue,weight_loss
GERD,stomach_pain,acidity,vomiting,cough
Hypertension ,headache,chest_pain,dizziness,lack_of_concentration
Common Cold,continuous_sneezing,chills,fatigue,cough
Fungal infection,itching,skin_rash,nodal_skin_eruptions,
Pneumonia,chills,fatigue,cough,high_fever
Dimorphic hemmorhoids(piles),constipation,pain_in_anal_region,bloody_stool,irritation_in_anus
Tuberculosis,chills,vomiting,fatigue,weight_loss
Heart attack,vomiting,breathlessness,sweating,
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Dengue,skin_rash,chills,joint_pain,vomiting
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Hypoglycemia,fatigue,anxiety,sweating,headache
Tuberculosis,chills,vomiting,fatigue,weight_loss
Dengue,skin_rash,chills,joint_pain,vomiting
Varicose veins,cramps,bruising,obesity,swollen_legs
